SD_NM,SD_CD,SGG_NM,SGG_CD,beta,beta_L,beta_U,2012_1,2012_2,2012_3,2012_4,2012_5,2012_6,2012_7,2012_8,2012_9,2012_10,2012_11,2012_12,2013_1,2013_2,2013_3,2013_4,2013_5,2013_6,2013_7,2013_8,2013_9,2013_10,2013_11,2013_12,2014_1,2014_2,2014_3,2014_4,2014_5,2014_6,2014_7,2014_8,2014_9,2014_10,2014_11,2014_12,2015_1,2015_2,2015_3,2015_4,2015_5,2015_6,2015_7,2015_8,2015_9,2015_10,2015_11,2015_12,1mth_avg,2mth_avg,3mth_avg,4mth_avg,5mth_avg,6mth_avg,7mth_avg,8mth_avg,9mth_avg,10mth_avg,11mth_avg,12mth_avg
경상남도,,양산시,,0.0017,0.0006,0.00277,2,2,2,2,2,1,1,1,1,1,2,2,3,2,3,2,3,2,1,2,1,1,2,2,2,1,1,1,1,1,1,0,1,1,1,1,2,3,1,0,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1
경상남도,,창원시 의창구,,0.00577,0.00466,0.00688,5,5,4,4,5,3,3,1,3,3,5,5,7,5,6,4,6,4,2,4,3,3,4,5,5,3,2,2,3,3,2,0,2,2,2,1,5,6,2,1,5,4,2,2,1,3,2,2,5,4,3,2,4,3,2,1,2,2,3,3
경상남도,,창원시 성산구,,0.00829,0.00687,0.0097,4,4,4,4,4,2,2,1,3,3,4,4,6,4,5,3,5,4,2,3,2,3,3,4,4,3,2,1,2,2,1,0,1,2,2,1,3,4,1,1,3,3,1,1,1,2,1,1,4,3,3,2,3,2,1,1,1,2,2,2
경상남도,,창원시 마산합포구,,0.00317,0.00209,0.00425,2,2,2,2,3,1,1,1,1,1,2,2,3,2,3,2,3,2,1,2,1,1,2,2,2,1,1,1,1,1,1,0,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
경상남도,,창원시 마산회원구,,0.00368,0.00251,0.00479,2,2,2,2,3,2,1,1,2,2,2,3,3,2,3,2,3,2,1,2,1,2,2,2,3,2,1,1,1,1,1,0,1,1,1,1,2,3,1,1,2,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1
경상남도,,창원시 진해구,,0.00376,0.00253,0.00499,2,2,2,2,2,1,1,1,1,1,2,2,3,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,0,1,1,1,1,2,2,0,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
경상남도,,의령군,,0.00495,0.00311,0.00672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상남도,,함안군,,0.00357,0.00216,0.00498,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상남도,,창녕군,,0.00555,0.00421,0.0069,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
경상남도,,고성군,,0.00296,0.00123,0.00462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상남도,,남해군,,0.00488,0.00309,0.00672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상남도,,하동군,,0.00133,-0.00038,0.00305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상남도,,산청군,,-0.00068,-0.0027,0.00129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상남도,,함양군,,0.00143,-0.00056,0.00343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
